,Product_Name,Product_Description,Size,Milk,Product_Ingredients,Energy (kJ)_per 100g/ml,Energy (kJ)_In-Store ,Energy (kJ)_Take-Out ,Energy (kcal)_per 100g/ml,Energy (kcal)_In-Store ,Energy (kcal)_Take-Out ,Fat (g)_per 100g/ml,Fat (g)_In-Store ,Fat (g)_Take-Out ,of which is saturates (g)_per 100g/ml,of which is saturates (g)_In-Store ,of which is saturates (g)_Take-Out ,Carbohydrate (g)_per 100g/ml,Carbohydrate (g)_In-Store ,Carbohydrate (g)_Take-Out ,of which is sugars (g)_per 100g/ml,of which is sugars (g)_In-Store ,of which is sugars (g)_Take-Out ,Protein (g)_per 100g/ml,Protein (g)_In-Store ,Protein (g)_Take-Out ,Salt (g)_per 100g/ml,Salt (g)_In-Store ,Salt (g)_Take-Out ,ServingSize_In_Store,ServingSize_Take_Out,Soya Products,Egg Products,Milk Products,Fish Products,Crustacean Products,Mollusc Products,Sulphite Products,Sesame Products,Celery Products,Mustard Products,Peanut Products,Lupin Products,Tree Nuts Products,Tree Nut Source (if present),Wheat Products,Rye Products,Barley Products,Oat Products
0,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Primo,Whole,N/A,371,962,1009,88,230,241,3.1,8.1,8.7,2,5.3,5.6,12.5,32.4,33.4,10.6,27.6,28.4,2.7,7.1,7.7,0.3,0.8,0.9,260g,303g,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No
1,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Primo,Skimmed,N/A,286,741,770,68,175,182,0.8,2.2,2.3,0.6,1.5,1.5,12.4,32.2,33.2,10.6,27.4,28.2,2.8,7.3,7.9,0.3,0.8,0.9,260g,303g,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No
2,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Primo,Semi Skimmed,N/A,322,836,872,76,198,207,1.8,4.6,4.9,1.2,3,3.2,12.6,32.7,33.7,10.8,27.9,28.7,2.9,7.4,8.1,0.3,0.9,0.9,260g,303g,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No
3,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Primo,Coconut,N/A,287,746,775,68,177,184,1.6,4.1,4.4,0.9,2.4,2.5,11.7,30.5,31.3,9.9,25.7,26.3,1.6,4.2,4.6,0.3,0.8,0.8,260g,303g,Yes,No,Yes,No,No,No,No,No,No,No,No,No,C,,No,No,No,No
4,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Primo,Almond,N/A,263,684,708,63,162,168,1.5,3.8,4.1,0.6,1.5,1.5,11.3,29.4,30.1,9.4,24.4,24.9,1,2.6,2.9,0.3,0.8,0.8,260g,303g,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Almond,No,No,No,No
5,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Primo,Soya,N/A,311,807,841,74,191,200,1.9,4.9,5.3,0.7,1.8,1.8,11.4,29.5,30.3,9.4,24.4,24.9,2.7,7.1,7.7,0.3,0.8,0.8,260g,303g,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No
6,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Primo,Lacto-free,N/A,302,783,815,72,186,194,1.6,4.3,4.6,1.1,2.9,3,11.4,29.5,30.3,9.5,24.7,25.3,2.9,7.4,8.1,0.3,0.8,0.8,260g,303g,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No
7,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Primo,Oat,N/A,324,842,879,77,199,208,1.5,4,4.2,0.8,2.1,2.2,14.7,38.2,39.6,10.3,26.6,27.3,0.9,2.3,2.6,0.3,0.8,0.8,260g,303g,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,C,C,C,Yes
8,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Medio,Whole,N/A,341,1321,1267,82,316,303,3,11.7,10.9,2,7.6,7.1,11.1,42.8,41.9,9.7,37.6,36.7,2.7,10.3,9.6,0.3,1.1,1.1,388g,368g,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No
9,Honeycomb Latte Macchiato ,A beautifully layered latte macchiato with buttery honeycomb flavour topped with golden sprinkles.,Medio,Skimmed,N/A,252,976,949,60,231,224,0.6,2.5,2.4,0.4,1.6,1.5,11,42.6,41.7,9.6,37.4,36.5,2.7,10.5,9.9,0.3,1.1,1.1,388g,368g,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No
