,Product_id,Product_Name,Product_Title,Product_Description,Product_Allergens,ServingSize,Energy kJ_uom,Energy kJ_per100g,Energy kJ_perPortion,Energy kJ_percent,Energy kcal_uom,Energy kcal_per100g,Energy kcal_perPortion,Energy kcal_percent,Fat_uom,Fat_per100g,Fat_perPortion,Fat_percent,of which Saturates_uom,of which Saturates_per100g,of which Saturates_perPortion,of which Saturates_percent,Carbohydrate_uom,Carbohydrate_per100g,Carbohydrate_perPortion,Carbohydrate_percent,of which Sugars_uom,of which Sugars_per100g,of which Sugars_perPortion,of which Sugars_percent,Protein_uom,Protein_per100g,Protein_perPortion,Protein_percent,Salt_uom,Salt_per100g,Salt_perPortion,Salt_percent
0,4,Pain au Chocolat,Pain au Chocolat | Greggs,"A Pain au Chocolat, and a freshly ground coffee; both available from your local Greggs. The perfect way to start your day.",Wheat,80g,kJ,1549,1239,0.00,kcal,371,297,0.15,g,20,16,0.23,g,13,10,0.50,g,39,31,0.00,g,16,13,0.14,g,6.8,5.4,0.00,g,0.64,0.51,0.09
1,5,Simply Creamy Porridge,Greggs | Original Porridge,"Breakfast at Greggs, served everyday until 11am",Milk,237g,kJ,478,1133,0.00,kcal,113,268,0.13,g,2.0,4.8,0.07,g,0.6,1.5,0.08,g,21,51,0.00,g,4.3,10,0.11,g,3.2,7.7,0.00,g,0.07,0.17,0.03
2,6,Golden Syrup Porridge,Golden Syrup Porridge | Greggs,Kick start your day with our syrup flavoured porridge. Read more about our delicious breakfast range here.,Milk,237g,kJ,481,1140,0.00,kcal,114,270,0.14,g,2,4.7,0.07,g,0.6,1.4,0.07,g,22,52,0.00,g,4.4,10,0.11,g,3.1,7.3,0.00,g,0.06,0.14,0.02
3,3,All Butter Croissant ,Croissant | Greggs,"Our Greggs ‘all butter’ Croissants are freshly baked every day, ideal for breakfast at home or on the go. Pick one up and try today!",Wheat,79g,kJ,1616,1277,0.00,kcal,387,306,0.15,g,19,15,0.21,g,12,9.3,0.47,g,44,35,0.00,g,5.4,4.3,0.05,g,9.1,7.2,0.00,g,0.71,0.56,0.09
4,13,Bacon Breakfast Baguette,Greggs | Bacon Breakfast Baguette,,Wheat,183g,kJ,1170,2141,0.00,kcal,277,507,0.25,g,8.1,15,0.21,g,3.0,5.5,0.28,g,36,65,0.00,g,1.1,1.9,0.02,g,15,28,0.00,g,1.6,3.0,0.50
5,10,Bacon Breakfast Roll,Bacon Breakfast Roll,Breakfast on the go at Greggs - served until 11am every day,Wheat,119.5g,kJ,1187,1418,0.00,kcal,282,337,0.17,g,11,13,0.19,g,3.8,4.5,0.23,g,30,36,0.00,g,0.6,0.7,0.01,g,16,19,0.00,g,1.8,2.1,0.35
6,11,Omelette Breakfast Roll,Egg Breakfast Roll | Greggs,Get your day off to a good start with a breakfast sandwich from Greggs ,Wheat,176g,kJ,946,1665,0.00,kcal,226,398,0.20,g,10,18,0.26,g,3.2,5.6,0.28,g,22,40,0.00,g,1.3,2.3,0.03,g,10,18,0.00,g,0.92,1.6,0.27
7,12,Sausage Breakfast Baguette,Greggs | Sausage Breakfast Baguette,,Wheat,229g,kJ,1106,2533,0.00,kcal,263,602,0.30,g,9.6,22,0.31,g,3.3,7.6,0.38,g,33,76,0.00,g,1.3,2.9,0.03,g,10,24,0.00,g,1.2,2.8,0.47
8,9,Sausage Breakfast Roll,Greggs | Breakfast Sausage Roll ,Get your day off to a good start with a breakfast sandwich from Greggs ,Wheat,154g,kJ,1135,1748,0.00,kcal,271,417,0.21,g,12,18,0.26,g,3.8,5.9,0.30,g,30,46,0.00,g,0.9,1.4,0.02,g,11,17,0.00,g,1.5,2.3,0.38
9,14,Omelette Breakfast Baguette,Egg Breakfast Baguette | Greggs,,Wheat,225g,kJ,967,2176,0.00,kcal,230,518,0.26,g,7.8,18,0.26,g,2.5,5.6,0.28,g,30,67,0.00,g,1.6,3.6,0.04,g,9.7,22,0.00,g,0.86,1.90,0.32
